42;Pima;Arizona;23794.31;9187.04;980263;41;107;982108;41;107;19.79138;989569;42;108;7461;0.76;Tucson
43;Honolulu;Hawaii;1555.92;600.74;953207;613;1587;955636;614;1591;19.27214;963607;619;1604;7971;0.83;Honolulu
44;Westchester;New%20York;1114.98;430.5;949113;851;2205;950283;852;2207;19.11798;955899;857;2220;5616;0.59;White%20Plains
45;Milwaukee;Wisconsin;625.23;241.4;947735;1516;3926;948623;1517;3930;19.05064;952532;1523;3946;3909;0.41;Milwaukee
46;Fulton;Georgia;1363.98;526.63;920581;675;1748;925920;679;1758;18.99198;949599;696;1803;23679;II.56;Atlanta
47;Mecklenburg;North%20Carolina;1356.75;523.84;919628;678;1756;923141;680;1762;18.88746;944373;696;1803;21232;02.III;Charlotte
48;Fresno;California;15431.13;5957.99;930450;60;156;933168;60;157;18.85808;942904;61;158;9736;01.IV;Fresno
49;Shelby;Tennessee;1976.61;763.17;927644;469;1216;928930;470;1217;37.40352;935088;473;1225;6158;0.66;Memphis
50;Wake;North%20Carolina;2163.21;835.22;900993;417;1079;906788;419;1086;37.1912;929780;430;1113;22992;II.54;Raleigh
51;Fairfield;Connecticut;1618.46;624.89;916829;566;1467;918339;567;1470;37.03596;925899;572;1482;7560;0.82;Bridgeport
52;DuPage;Illinois;848.22;327.5;916924;1081;2800;917942;1082;2803;36.92888;923222;1088;2819;5280;0.58;Wheaton
53;Erie;New%20York;2700.56;1042.69;919040;340;881;918751;340;881;36.72112;918028;340;880;-0.723;-0.08;Buffalo
54;Pinellas;Florida;709.14;273.8;916542;1292;3347;916220;1292;3346;36.69592;917398;1294;3351;1178;0.13;Clearwater
55;Marion;Indiana;1026.41;396.3;903393;880;2280;904789;882;2283;36.45184;911296;888;2300;6507;0.72;Indianapolis
56;Bergen;New%20Jersey;603.49;233.01;905116;1500;3884;906184;1502;3889;36.44016;911004;1510;3910;4820;0.53;Hackensack
57;Hartford;Connecticut;1903.89;735.1;894014;470;1216;894127;470;1216;35.7882;894705;470;1217;578;0.06;Hartford
